Scenario#,Fault#,Fault-line,Alerts,Hazards,T1,T2,T3
7,1,"if _>=47 and _<163:||data_to_prepend["glucose"]=str(float(loaded_glucose)-17)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0'",N/A,N/A,N/A,N/A,N/A
7,2,"if _>=159 and _<164:||data_to_prepend["glucose"]=str(float(loaded_glucose)-68)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0'", Glucose = 320.0 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 319.9715747399378 || Glucose = 319.8652618021538 || Glucose = 319.6167077541378 || Glucose = 319.15184318635784 || Glucose = 318.39131753594023 || Glucose = 317.25437083516346 || Glucose = 315.6622643046646 || Glucose = 313.5413415315106 || Glucose = 310.825750027572 || Glucose = 307.45982062798083 || Glucose = 303.40007983342394 || Glucose = 298.61685759826383 || Glucose = 293.0968185085504 || Glucose = 286.8451752679887 || Glucose = 79.92029967008747 || Glucose = 79.81019543313323 || Glucose = 79.84240382513964 ,N/A,159.0,0.0||1.0||2.0||3.0||4.0||5.0||6.0||7.0||8.0||9.0||10.0||11.0||12.0||13.0||14.0||15.0||16.0||17.0||18.0||55.0||56.0||57.0,N/A
7,3,"if _>=118 and _<158:||data_to_prepend["glucose"]=str(float(loaded_glucose)-99)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0'", Glucose = 320.0 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 319.9715747399378 || Glucose = 319.8652618021538 || Glucose = 319.6167077541378 || Glucose = 319.15184318635784 || Glucose = 318.39131753594023 || Glucose = 317.25437083516346 || Glucose = 315.6622643046646 || Glucose = 313.5413415315106 || Glucose = 310.825750027572 || Glucose = 307.45982062798083 || Glucose = 303.40007983342394 || Glucose = 298.61685759826383 || Glucose = 293.0968185085504 || Glucose = 286.8451752679887 || Glucose = 79.92029967008747 || Glucose = 79.81019543313323 || Glucose = 79.84240382513964 ,N/A,118.0,0.0||1.0||2.0||3.0||4.0||5.0||6.0||7.0||8.0||9.0||10.0||11.0||12.0||13.0||14.0||15.0||16.0||17.0||18.0||55.0||56.0||57.0,N/A
7,4,"if _>=104 and _<162:||data_to_prepend["glucose"]=str(float(loaded_glucose)-105)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0'", Glucose = 320.0 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 319.9715747399378 || Glucose = 319.8652618021538 || Glucose = 319.6167077541378 || Glucose = 319.15184318635784 || Glucose = 318.39131753594023 || Glucose = 317.25437083516346 || Glucose = 315.6622643046646 || Glucose = 313.5413415315106 || Glucose = 310.825750027572 || Glucose = 307.45982062798083 || Glucose = 303.40007983342394 || Glucose = 298.61685759826383 || Glucose = 293.0954495759135 || Glucose = 286.8367974604176 || Glucose = 79.6127864526519 || Glucose = 78.60584944562821 || Glucose = 77.81364485752255 || Glucose = 77.21989514700076 || Glucose = 76.80979496754779 || Glucose = 76.56993742834445 || Glucose = 76.48770163682306 || Glucose = 76.55063119780326 || Glucose = 76.74633398631978 || Glucose = 77.0622150918288 || Glucose = 77.4863277593213 || Glucose = 78.00742590078463 || Glucose = 78.61497846848098 || Glucose = 79.29861870749615 ,N/A,104.0,0.0||1.0||2.0||3.0||4.0||5.0||6.0||7.0||8.0||9.0||10.0||11.0||12.0||13.0||14.0||15.0||16.0||17.0||18.0||50.0||51.0||52.0||53.0||54.0||55.0||56.0||57.0||58.0||59.0||60.0||61.0||62.0||63.0,N/A
7,5,"if _>=150 and _<153:||data_to_prepend["glucose"]=str(float(loaded_glucose)-136)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0'",N/A,N/A,N/A,N/A,N/A
7,6,"if _>=104 and _<142:||data_to_prepend["glucose"]=str(float(loaded_glucose)-165)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0'", Glucose = 320.0 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 319.9715747399378 || Glucose = 319.8652618021538 || Glucose = 319.6167077541378 || Glucose = 319.15184318635784 || Glucose = 318.39131753594023 || Glucose = 317.25437083516346 || Glucose = 315.6622643046646 || Glucose = 313.5413415315106 || Glucose = 310.825750027572 || Glucose = 307.45982062798083 || Glucose = 303.40007983342394 || Glucose = 298.61685759826383 || Glucose = 293.0968185085504 || Glucose = 286.8451752679887 || Glucose = 79.92029967008747 || Glucose = 79.81019543313323 || Glucose = 79.84240382513964 ,N/A,104.0,0.0||1.0||2.0||3.0||4.0||5.0||6.0||7.0||8.0||9.0||10.0||11.0||12.0||13.0||14.0||15.0||16.0||17.0||18.0||55.0||56.0||57.0,N/A
7,7,"if _>=137 and _<141:||data_to_prepend["glucose"]=str(float(loaded_glucose)-201)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0'",N/A,N/A,N/A,N/A,N/A
7,8,"if _>=184 and _<196:||data_to_prepend["glucose"]=str(float(loaded_glucose)-232)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0'", Glucose = 320.0 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 319.9715747399378 || Glucose = 319.8652618021538 || Glucose = 319.6167077541378 || Glucose = 319.15184318635784 || Glucose = 318.39131753594023 || Glucose = 317.25437083516346 || Glucose = 315.6622643046646 || Glucose = 313.5413415315106 || Glucose = 310.825750027572 || Glucose = 307.45982062798083 || Glucose = 303.40007983342394 || Glucose = 298.61685759826383 || Glucose = 293.0968185085504 || Glucose = 286.8451752679887 || Glucose = 79.92029967008747 || Glucose = 79.81019543313323 || Glucose = 79.84240382513964 ,N/A,184.0,0.0||1.0||2.0||3.0||4.0||5.0||6.0||7.0||8.0||9.0||10.0||11.0||12.0||13.0||14.0||15.0||16.0||17.0||18.0||55.0||56.0||57.0,N/A
7,9,"if _>=178 and _<198:||data_to_prepend["glucose"]=str(float(loaded_glucose)-278)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0'", Glucose = 320.0 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 320 || Glucose = 319.9715747399378 || Glucose = 319.8652618021538 || Glucose = 319.6167077541378 || Glucose = 319.1826124090578 || Glucose = 318.5062170223564 || Glucose = 317.52238313864206 || Glucose = 316.161978799001 || Glucose = 314.35570762669744 || Glucose = 312.0374721502636 || Glucose = 309.14732236851205 || Glucose = 305.63400735531934 || Glucose = 301.4571231666148 || Glucose = 296.588834880861 || Glucose = 291.0151440101052 || Glucose = 284.73667399335545 || Glucose = 79.44775633272882 || Glucose = 78.66303722032394 || Glucose = 78.0757214791729 || Glucose = 77.67128791502279 || Glucose = 77.43567889164109 || Glucose = 77.35480859250235 || Glucose = 77.41491824662154 || Glucose = 77.6035082980177 || Glucose = 77.90853565133445 || Glucose = 78.31799669012965 || Glucose = 78.8201478826453 || Glucose = 79.40400904513966 ,N/A,178.0,0.0||1.0||2.0||3.0||4.0||5.0||6.0||7.0||8.0||9.0||10.0||11.0||12.0||13.0||14.0||15.0||16.0||17.0||18.0||19.0||52.0||53.0||54.0||55.0||56.0||57.0||58.0||59.0||60.0||61.0||62.0||63.0,N/A
7,10,"if _>=164 and _<186:||data_to_prepend["glucose"]=str(float(loaded_glucose)-290)||if float(data_to_prepend["glucose"])<0:||  data_to_prepend["glucose"]='0'",N/A,N/A,N/A,N/A,N/A
